emp_id,emp_class,branch_id,peer_cluster,is_on_notice_period,performance_score,peer_cluster_id,join_date,zone_id,role_level,is_new_hire
EMP_1000,CLERK,BR_02,13,0,4.42,1,2024-01-14,Tier-1,2,0
EMP_1001,MANAGER,BR_04,8,0,4.24,3,2025-03-30,Tier-1,3,0
EMP_1002,CLERK,BR_20,13,0,4.52,1,2023-10-17,Tier-3,1,0
EMP_1003,CLERK,BR_14,0,0,4.95,1,2022-02-27,Tier-2,2,0
EMP_1004,CLERK,BR_12,10,0,3.65,1,2024-11-16,Tier-2,3,0
EMP_1005,CLERK,BR_11,13,0,1.13,2,2023-09-18,Tier-2,1,0
EMP_1006,CLERK,BR_14,8,0,1.93,1,2021-10-15,Tier-2,2,0
EMP_1007,CLERK,BR_20,7,0,1.6,1,2024-08-29,Tier-3,3,0
EMP_1008,CLERK,BR_17,6,0,3.33,2,2026-03-08,Tier-3,1,1
EMP_1009,CLERK,BR_04,0,0,2.91,1,2021-12-09,Tier-1,2,0
EMP_1010,MANAGER,BR_13,3,0,4.73,4,2024-06-16,Tier-2,3,0
EMP_1011,MANAGER,BR_19,8,0,2.57,4,2022-12-28,Tier-3,1,0
EMP_1012,CLERK,BR_07,5,0,1.24,2,2025-08-05,Tier-1,2,0
EMP_1013,CLERK,BR_09,9,0,1.1,2,2024-06-18,Tier-2,3,0
EMP_1014,IT_ADMIN,BR_02,12,0,4.24,5,2021-08-02,Tier-1,1,0
EMP_1015,CLERK,BR_14,7,1,3.54,1,2024-03-15,Tier-2,2,0
EMP_1016,MANAGER,BR_01,10,0,1.76,4,2024-04-23,Tier-1,3,0
EMP_1017,CLERK,BR_17,7,0,4.63,2,2024-09-29,Tier-3,1,0
EMP_1018,CLERK,BR_18,12,0,3.24,1,2021-08-10,Tier-3,2,0
EMP_1019,CLERK,BR_07,0,0,3.43,2,2025-06-18,Tier-1,3,0
EMP_1020,MANAGER,BR_12,3,0,4.68,3,2022-09-19,Tier-2,1,0
EMP_1021,CLERK,BR_14,4,0,1.2,1,2021-07-20,Tier-2,2,0
EMP_1022,CLERK,BR_03,8,0,4.38,2,2023-11-07,Tier-1,3,0
EMP_1023,MANAGER,BR_11,2,0,4.91,4,2023-12-14,Tier-2,1,0
EMP_1024,CLERK,BR_20,14,0,2.11,1,2022-05-28,Tier-3,2,0
EMP_1025,MANAGER,BR_11,4,0,3.16,4,2026-03-05,Tier-2,3,1
EMP_1026,CLERK,BR_04,7,0,2.69,1,2022-06-18,Tier-1,1,0
EMP_1027,CLERK,BR_10,14,0,1.27,1,2022-08-12,Tier-2,2,0
EMP_1028,CLERK,BR_17,11,0,3.02,2,2025-11-09,Tier-3,3,0
EMP_1029,CLERK,BR_10,7,0,4.58,1,2025-01-29,Tier-2,1,0
EMP_1030,CLERK,BR_14,1,0,1.63,1,2024-05-11,Tier-2,2,0
EMP_1031,CLERK,BR_11,0,0,1.86,2,2025-12-08,Tier-2,3,0
EMP_1032,CLERK,BR_13,10,0,3.19,2,2024-04-21,Tier-2,1,0
EMP_1033,CLERK,BR_10,9,0,1.18,1,2023-10-05,Tier-2,2,0
EMP_1034,CLERK,BR_18,12,0,1.98,1,2023-01-19,Tier-3,3,0
EMP_1035,CLERK,BR_05,3,0,2.81,2,2021-05-29,Tier-1,1,0
EMP_1036,MANAGER,BR_07,11,0,4.07,4,2023-01-25,Tier-1,2,0
EMP_1037,CLERK,BR_14,2,0,2.12,1,2021-07-01,Tier-2,3,0
EMP_1038,CLERK,BR_13,4,0,1.65,2,2021-07-08,Tier-2,1,0
EMP_1039,CLERK,BR_06,8,0,1.3,1,2022-03-28,Tier-1,2,0
EMP_1040,MANAGER,BR_20,0,0,4.4,3,2026-01-22,Tier-3,3,0
EMP_1041,CLERK,BR_19,8,0,4.08,2,2022-05-28,Tier-3,1,0
EMP_1042,CLERK,BR_10,6,0,1.9,1,2021-06-13,Tier-2,2,0
EMP_1043,CLERK,BR_13,1,0,2.61,2,2024-07-09,Tier-2,3,0
EMP_1044,MANAGER,BR_18,3,0,2.7,3,2024-05-14,Tier-3,1,0
EMP_1045,CLERK,BR_01,13,0,4.12,2,2025-08-06,Tier-1,2,0
