timestamp,transaction_id,emp_id,emp_class,branch_id,action_type,amount,account_touched,destination_account,ip_address,transfer_channel,records_accessed,dwell_time_seconds,raw_complaint_text,hr_remark_text,is_fraud_flag,calendar_context,login_hour,off_hours_flag
2025-10-01 02:47:58,e051c54a-5c51-45f8-b22c-acca91495a3a,EMP_1398,IT_ADMIN,BR_20,DB_Read,201.0,SYSTEM_BULK_EXPORT,ACC_5425,164.143.149.57,SYSTEM,94580,0.0066,"Formal complaint filed — demanded bribe, senior manager witness present.",Employee terminated for gross misconduct — pending appeal.,1,NORMAL,2,1
2025-10-01 08:01:51,432215d4-7089-47fa-9940-992b4c91557f,EMP_1390,CLERK,BR_05,System_Login,432275.15,ACC_4871,ACC_2400,10.5.212.245,SYSTEM,149,193.8,,,0,NORMAL,8,0
2025-10-01 08:02:52,8933c677-fab6-467e-8c79-bddfd2f1cac8,EMP_1452,CLERK,BR_16,DB_Read,453432.62,ACC_7823,ACC_9888,10.16.240.103,SYSTEM,140,132.9,Loan EMI processed as per schedule.,Attended mandatory AML training.,0,NORMAL,8,0
2025-10-01 08:08:09,cd9f5e07-0ea3-4d39-b62b-07aae33d0eaf,EMP_1283,MANAGER,BR_06,Approve,835671.48,ACC_6075,ACC_1296,10.6.107.213,RTGS,48,89.0,,,0,NORMAL,8,0
2025-10-01 08:17:36,1f5c18e4-d61e-4059-bc62-7a994b8b9a20,EMP_1112,CLERK,BR_11,DB_Read,243412.0,ACC_3389,ACC_6720,3.186.10.59,SYSTEM,82,203.1,Signature mismatch resolved after verification.,Medical leave approved — 3 days.,0,NORMAL,8,0
2025-10-01 08:18:19,3d531b76-f4a7-401f-b2b0-30e61fb23498,EMP_1449,CLERK,BR_06,System_Login,181616.61,ACC_2342,ACC_7524,10.6.0.86,SYSTEM,130,140.9,Customer verified transaction manually. No issues reported.,Target achieved for Q3 2025.,0,NORMAL,8,0
2025-10-01 08:20:13,99456c75-556a-4fb0-afa6-35e6118a4afe,EMP_1144,CLERK,BR_11,DB_Read,356069.64,ACC_3672,ACC_2174,10.11.235.104,SYSTEM,95,159.7,Customer query regarding statement. Clarified.,Medical leave approved — 3 days.,0,NORMAL,8,0
2025-10-01 08:29:38,6a03d29e-4f66-4ff3-b40e-fb0082bddc1a,EMP_1400,CLERK,BR_17,System_Login,33026.04,ACC_4091,ACC_2348,10.17.189.17,SYSTEM,84,194.8,,,0,NORMAL,8,0
2025-10-01 08:32:15,6b0fe150-064e-42b4-89b7-9ae522aca049,EMP_1380,CLERK,BR_09,Initiate,296633.04,ACC_2601,ACC_2969,10.9.226.216,NEFT,91,218.4,,,0,NORMAL,8,0
2025-10-01 08:44:20,1647f5c6-3e9c-47cf-bfca-d39d9956cf02,EMP_1482,CLERK,BR_03,System_Login,225620.49,ACC_1964,ACC_4592,10.3.145.45,SYSTEM,121,244.8,Routine account inquiry. Resolved satisfactorily.,Completed fraud awareness workshop.,0,QUARTER_END,8,0
