timestamp,transaction_id,emp_id,emp_class,branch_id,action_type,amount,account_touched,destination_account,transfer_channel,session_id,ip_address,raw_complaint_text,hr_remark_text,dest_account_watchlisted,is_fraud_flag,dwell_time_seconds,records_accessed,calendar_context,login_hour,off_hours_flag
2025-10-01 02:47:48,6e7b8ef0-37a0-4c98-a013-0c7a1bc29e4e,EMP_1416,IT_ADMIN,BR_20,DB_Read,394.0,SYSTEM_BULK_EXPORT,ACC_190,SYSTEM,a9ebcc41-b837-433f-a0d9-62118308f7b0,10.20.155.2,Second complaint this month: demanded bribe from small business owner.,Employee terminated for gross misconduct — pending appeal.,1,1,0.0066,14528,NORMAL,2,1
2025-10-01 08:03:48,b3155347-f07b-4438-bcb2-eba170574bfa,EMP_1200,CLERK,BR_02,DB_Read,196590.3,ACC_1665,ACC_307,SYSTEM,ccb0b0f8-db38-402c-a999-b96b57f8b34c,10.2.194.38,IMPS transfer confirmed by customer.,Medical leave approved — 3 days.,1,0,242.7,99,FYE,8,0
2025-10-01 08:04:04,ad59ce89-bdae-4a9e-8801-71aca6895788,EMP_1224,CLERK,BR_06,DB_Read,246643.11,ACC_2915,ACC_306,SYSTEM,e26ad613-37f6-4262-b2d8-06a9543138c8,10.6.98.208,,,1,0,192.3,86,NORMAL,8,0
2025-10-01 08:05:41,c59b3202-0020-4708-9fe8-3e5b94e7fddf,EMP_1177,CLERK,BR_19,DB_Read,56633.39,ACC_7702,ACC_218,SYSTEM,e04d0e17-fbc3-476d-ae4d-1e99136e495b,10.19.247.201,KYC update verified. Documents in order.,Target achieved for Q3 2025.,0,0,144.8,119,NORMAL,8,0
2025-10-01 08:31:36,040b4a51-d721-44f5-93a5-97f7a991979c,EMP_1340,CLERK,BR_10,DB_Read,118107.08,ACC_3445,ACC_342,SYSTEM,f1c991a7-c42a-4142-b4d7-a6f3ec744c87,39.253.38.222,Customer query regarding statement. Clarified.,Annual leave approved.,1,0,105.3,80,NORMAL,8,0
2025-10-01 08:37:17,f8efbc48-3110-4b17-bc95-13a714b4e3da,EMP_1121,CLERK,BR_03,Initiate,257250.09,ACC_2793,ACC_426,RTGS,b32adccb-43ff-4fe2-a32b-2ab044afa542,10.3.106.177,Account balance inquiry. Normal operation.,Medical leave approved — 3 days.,1,0,43.8,101,FYE,8,0
2025-10-01 08:40:28,73dfcd63-3813-4414-b6b3-6c4f66327c03,EMP_1351,CLERK,BR_09,DB_Read,295565.1,ACC_8981,ACC_471,SYSTEM,8933ce7d-9966-4d1c-8bd0-d9b0ca8c4332,10.9.241.9,,,1,0,233.3,122,NORMAL,8,0
2025-10-01 08:57:35,743772ab-9668-4d53-9fdb-c37baa58a0b8,EMP_1300,CLERK,BR_18,DB_Read,287028.78,ACC_4535,ACC_109,SYSTEM,ebf430a4-f6e3-4955-868f-e5fde5f44317,10.18.126.183,Customer verified transaction manually. No issues reported.,Performance review: Satisfactory.,1,0,63.7,141,NORMAL,8,0
2025-10-01 08:57:37,c2e5b1b0-af35-40a1-aa76-c0a4868c2f7b,EMP_1155,MANAGER,BR_14,Initiate,1177910.71,ACC_2459,ACC_107,NEFT,baf63f41-9c4e-4466-a4b7-cd1355a22ca2,10.14.133.142,Minor delay in credit. Resolved within SLA.,Attended mandatory AML training.,1,0,114.8,15,NORMAL,8,0
2025-10-01 09:00:00,a3ed2a44-b3aa-4b95-a944-edf53d8bc689,EMP_1047,CLERK,BR_10,Initiate,2600244.0,ACC_2727,ACC_379,NEFT,d9ee2b85-2089-4f63-bcf1-311b33fc8223,10.10.105.18,Unauthorized debit reported by account holder.,Employee under departmental inquiry for misconduct. Conduct unsatisfactory.,1,1,89.1,82,NORMAL,9,0
2025-10-01 09:01:40,9580b42d-42a7-47a3-92ab-175e6e1416c1,EMP_1047,CLERK,BR_10,Initiate,697116.0,ACC_2995,ACC_544,RTGS,38931f68-81ea-4266-a23f-4b7267863b7f,10.10.65.187,Customer reports money missing after employee interaction.,Disciplinary proceedings initiated per Staff Regulation 14(3). Do not reassign.,1,1,219.0,109,FYE,9,0
2025-10-01 09:03:20,94b17c44-8e46-4aa8-b2bb-9238528410e6,EMP_1047,CLERK,BR_10,Initiate,1194302.0,ACC_3093,ACC_431,RTGS,5b48a950-0415-4144-a751-0e993a14d5b5,10.10.79.71,Manager demanded bribe for loan approval; customer refused and lodged written complaint.,Suspended pending investigation. Access revoked.,1,1,189.2,142,NORMAL,9,0
2025-10-01 09:03:46,2e2dbbbc-7e93-4053-8507-8437fa04e399,EMP_1051,CLERK,BR_20,DB_Read,324651.85,ACC_6866,ACC_367,SYSTEM,3e8059ad-ed8f-4e25-93c2-ec2298aca50c,10.20.164.155,Loan EMI processed as per schedule.,Target achieved for Q3 2025.,1,0,193.3,85,NORMAL,9,0
2025-10-01 09:05:00,77265b92-4cb7-4840-ba03-5033680f9705,EMP_1047,CLERK,BR_10,Initiate,3573720.0,ACC_3486,ACC_554,NEFT,7cfaa2e2-5cc5-4dbd-807c-78fffc4c5991,10.10.65.187,"Customer reported that branch manager demanded bribe for loan approval. Amount: ₹50,000.",Suspended pending investigation. Access revoked.,1,1,121.9,113,NORMAL,9,0
2025-10-01 09:05:02,207770e1-cd0a-49b6-8fdc-4b33b260ed6a,EMP_1106,CLERK,BR_17,Initiate,134457.81,ACC_7225,ACC_409,NEFT,1401dee6-71d3-4ecc-90a7-d3dad5800758,10.17.203.238,Customer query regarding statement. Clarified.,Medical leave approved — 3 days.,1,0,176.6,139,NORMAL,9,0
2025-10-01 09:06:40,43fe860b-f85a-4500-ac5f-161d9914abd8,EMP_1047,CLERK,BR_10,Initiate,3851429.0,ACC_3845,ACC_237,NEFT,c6be9aef-e352-4ec5-9d86-8bae038090c0,10.10.1.194,Multiple customers report same employee demanding cash for expedited service.,HR flagged for integrity review. Loan file irregularities noted by internal audit.,1,1,103.7,121,FYE,9,0
2025-10-01 09:07:19,1b1b0486-166f-4ecc-8713-5acd670fbbe0,EMP_1115,IT_ADMIN,BR_09,DB_Read,462.0,ACC_2357,ACC_214,SYSTEM,b5a7b018-89c5-42d9-9866-21f47f4b7041,10.9.1.191,Customer verified transaction manually. No issues reported.,Target achieved for Q3 2025.,1,0,0.0072,51715,FYE,9,0
2025-10-01 09:08:20,68e10651-6d90-40ee-8b56-7da5ca4ba2ac,EMP_1047,CLERK,BR_10,Initiate,4853793.0,ACC_2733,ACC_380,RTGS,6d629384-a0b5-45d0-8bc6-9a1341fb71e9,10.10.214.158,"Formal complaint filed — demanded bribe, senior manager witness present.",Disciplinary proceedings initiated per Staff Regulation 14(3). Do not reassign.,1,1,229.8,92,QUARTER_END,9,0
2025-10-01 09:10:00,f779b5cb-7775-492b-a3e1-764c4e57a2d5,EMP_1047,CLERK,BR_10,Initiate,1966214.0,ACC_2821,ACC_199,RTGS,0fb8cd62-13f4-420f-b89d-0a4f4e9f027a,10.10.79.71,Second complaint this month: demanded bribe from small business owner.,Employee terminated for gross misconduct — pending appeal.,1,1,57.7,139,NORMAL,9,0
